FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.2005,2005,POINT (16.348920932888763 48.23617570888607),Hardtgasse,Hardtgasse,35A,474,
OEFFHALTESTOGD.2006,2006,POINT (16.351961425756045 48.23136959564006),Nuﬂdorfer Straﬂe,Nuﬂdorfer Straﬂe,"35A, 37A",950,
OEFFHALTESTOGD.2007,2007,POINT (16.393162716583312 48.266323608254034),Koloniestraﬂe,Koloniestraﬂe,36A,699,
OEFFHALTESTOGD.2008,2008,POINT (16.40265741595129 48.27398003755966),Jedlersdorfer Straﬂe,Jedlersdorfer Straﬂe,36A,593,
OEFFHALTESTOGD.2009,2009,POINT (16.38282739271875 48.23591403273302),Lorenz-Bˆhler-Unfallkrankenhaus,Lorenz-Bˆhler-Unfallkrankenhaus,37A,813,
OEFFHALTESTOGD.2010,2010,POINT (16.3792836321342 48.23725804594139),Dresdner Straﬂe,Dresdner Straﬂe,37A,500,
OEFFHALTESTOGD.2011,2011,POINT (16.365509551659354 48.23745441233051),Klosterneuburger Straﬂe,Klosterneuburger Straﬂe,37A,692,
OEFFHALTESTOGD.2012,2012,POINT (16.35632674171798 48.23607112324842),Spittelau,Spittelau,37A,1062,
OEFFHALTESTOGD.2013,2013,POINT (16.3562887342122 48.23336479872671),Spittelau,Spittelau,37A,1062,
OEFFHALTESTOGD.2014,2014,POINT (16.354532618915055 48.23332668293051),Glatzgasse,Glatzgasse,37A,405,
OEFFHALTESTOGD.2015,2015,POINT (16.334547646840626 48.237409655725685),D‰nenstraﬂe,D‰nenstraﬂe,37A,251,
OEFFHALTESTOGD.2016,2016,POINT (16.35258975749561 48.23118869538181),Nuﬂdorfer Straﬂe,Nuﬂdorfer Straﬂe,37A,950,
OEFFHALTESTOGD.2017,2017,POINT (16.34799579883854 48.25376439315949),Bretschneidergasse,Bretschneidergasse,38A,168,
OEFFHALTESTOGD.2018,2018,POINT (16.364975015364944 48.254672449995525),Grinzinger Straﬂe,Grinzinger Straﬂe,38A,428,
OEFFHALTESTOGD.2019,2019,POINT (16.364767024312613 48.249622079651374),Heiligenstadt,Heiligenstadt,"38A, 39A",491,
